7:29:59.517 [main] INFO  a.m.m.MallRestaurantApplication - Starting MallRestaurantApplication using Java 17.0.9 on WINDOWS-RGRGTRB with PID 884 (C:\Users\User\OneDrive\Documents\GitHub\sdf2-for-murad-MuradIbrahimov\mallRestaurant\build\classes\java\main started by 1KediSosis7 in C:\Users\User\OneDrive\Documents\GitHub\sdf2-for-murad-MuradIbrahimov)
17:29:59.519 [main] INFO  a.m.m.MallRestaurantApplication - No active profile set, falling back to default profiles: default
17:29:59.985 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
17:30:00.021 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 2 MongoDB repository interfaces.
17:30:00.334 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
17:30:00.340 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
17:30:00.340 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:30:00.341 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
17:30:00.392 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:30:00.392 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 834 ms
17:30:00.530 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
17:30:00.580 [cluster-ClusterId{value='657c54d82c397a3b8fbe4610', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:171}] to localhost:27017
17:30:00.580 [cluster-rtt-ClusterId{value='657c54d82c397a3b8fbe4610', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:170}] to localhost:27017
